####
##Results of 2cM window simulations
##Rows: One row per selection cycle per analyzed 2cM window across the genome
##Columns:
#Cycle:	The population cycle at which the statistics were measured
#LG: The chromosome number
#phystart: physical starting marker position
#phystop: physical ending marker position
#genstart: genetic starting marker position
#genstop: genetic ending marker position
#unph_H_BSSS: Observed BSSS population heterozygosity from unimputed data
#unph_H_BSCB: Observed BSCB population heterozygosity from unimputed data
#H_BSSS: Observed BSSS population heterozygosity from phased, imputed data
#H_BSCB: Observed BSCB population heterozygosity from phased, imputed data
#BSSS_quantile_0.001:  The 0.001 quantile value of heterozygosity obtained from simulation in the BSSS population
#BSCB_quantile_0.001:  The 0.001 quantile value of heterozygosity obtained from simulation in the BSCB population
####
Cycle LG phystart phystop genstart genstop unph_H_BSSS unph_H_BSCB H_BSSS H_BSCB BSSS_quantile_0.001 BSCB_quantile_0.001
4 1 3498 3040632 0 1.93569008709101 0.306894510073134 0.205131574052018 0.307294462336733 0.206197441402755 0.150260914295938 0.174695730452675
4 1 3078140 3407925 2.30216463791236 3.53695061311449 0.21908950617284 0.221682098765432 0.21908950617284 0.221682098765432 0.125262083333333 0.123239413580247
4 1 5809260 7046272 14.0346091419959 15.6233585060057 0.291346490284567 0.172806585018267 0.29188850308642 0.173505015432099 0.120799845679012 0.127970380015432
4 1 7079390 8355740 16.4073001446283 17.8173539626393 0.207430286510448 0.289156210902846 0.208303656220323 0.290578505856284 0.0511723349952517 0.103878432652739
4 1 8515602 9435426 18.7180972503519 19.8692308383269 0.280890591186532 0.323140611184561 0.281593867418143 0.325432769726248 0.126692792203435 0.145615103327966
4 1 9526231 10667363 20.0287279117726 21.9957922592308 0.337284081842614 0.2970833202108 0.337287808641975 0.297292952674897 0.128326147762345 0.141106111754115
4 1 10672720 12251110 22.0034196998401 23.9191085380535 0.257569936488718 0.260350673375346 0.258026368760064 0.261037305421363 0.116710371376812 0.142628430287171
4 1 12352106 13559407 24.2108029985415 25.9704662461012 0.284435282843898 0.286908436213992 0.284679355281207 0.286908436213992 0.122068172725195 0.140028649405578
4 1 13591537 15071787 26.0114172803876 27.9151807492783 0.268263152646761 0.229939710311734 0.269149831649832 0.229683992704826 0.0855069356762065 0.136976159161055
4 1 15170295 16469406 28.6157620595439 29.9503378134516 0.194797005421045 0.198423995643658 0.196298785344484 0.199995021903624 0.0454308293508562 0.12394160692951
4 1 16579851 18697940 30.1841036711 31.9193619135016 0.309913176520598 0.312090084876543 0.31152946566358 0.312090084876543 0.0770394663869598 0.126445360725308
4 1 18957087 21759934 32.3460959519831 33.87141228587 0.281330433351652 0.358070668241085 0.283287689097548 0.359046252825596 0.0848956431490176 0.124534320118241
4 1 21983736 24052120 34.0895962343464 35.9707031951542 0.305985499823067 0.258787201577532 0.306492504409171 0.259400982615268 0.09878054138322 0.169043642920131
4 1 24194242 25287214 36.2616965580153 37.96132913596 0.34150471777046 0.327175131711977 0.342487373737374 0.327388468013468 0.0538006102693602 0.140236531986532
4 1 25371750 26917064 38.0294817775115 39.8413820286576 0.30574674511329 0.170492961128435 0.30645342312009 0.170103815937149 0.0847771955667789 0.106359946689114
4 1 26948708 27555261 40.0850067437014 41.990832373794 0.289968235971637 0.231359613821667 0.289425338036449 0.23070987654321 0.0110773809523809 0.025554618606702
4 1 27628115 30300362 42.2722862485374 43.7811342343485 0.348765432098765 0.2554356671955 0.348909290646579 0.255322766269094 0.143497750575434 0.173729800952082
4 1 30535195 33526063 44.0234005580449 45.9439467901252 0.19946012879908 0.296941807351678 0.200365673644659 0.297772410091251 0.0894150619520486 0.168975884550009
4 1 33630372 34940995 46.0263140260204 47.9875728580707 0.327067086997401 0.240298479373683 0.327113444745559 0.240298479373683 0.1172341444595 0.16105769158386
4 1 34961462 39070141 48.0973981636572 49.9657277336424 0.304058314896115 0.252942286929032 0.305250128600823 0.252833236882716 0.115450227462706 0.16207112027392
4 1 39113698 40356668 50.0588511786577 51.9478377213847 0.315819762267097 0.259725437242798 0.31664737654321 0.259725437242798 0.0951626478909466 0.14538247492284
4 1 40420273 44960515 52.1037445276665 53.9742465198082 0.261396389608483 0.23191384030488 0.262740523726852 0.232075255594136 0.0480443793402778 0.172985463083527
4 1 45101401 47135598 54.1734595162451 55.9940951081089 0.30321120729521 0.331711655157983 0.303848870056497 0.3318947478552 0.0392142380728186 0.172348817744298
4 1 47303565 51325162 56.0771875952402 57.9797519164737 0.236869630470583 0.207943054768204 0.237716049382716 0.212797067901235 0.0616545216049383 0.13720875
4 1 51399258 53422803 58.2130340341085 59.954268990578 0.291955512721568 0.290506104831631 0.292456643151088 0.292226998824221 0.0824976851851851 0.172388392857143
4 1 53621515 56676590 60.1720741496092 61.9801163659168 0.320529768175594 0.246452331961591 0.320873342478281 0.246394413961286 0.046600775415333 0.132631430041152
4 1 56746837 61033902 62.1659266874287 63.7816204284118 0.227789507116546 0.241918165414314 0.229030501089325 0.242556281771968 0.0353412233720649 0.142731715988864
4 1 61142853 69587711 64.0213923835863 65.922806556148 0.278957736392199 0.304341887468204 0.279359567901235 0.304738355780022 0.0714419805695847 0.185141294893379
4 1 69699798 75397820 66.1143135737483 67.9916497451205 0.236453396775094 0.309984400078114 0.237481807688447 0.31030751279735 0.0734107729850447 0.152101902037539
4 1 75627286 80918241 68.0783703189521 69.9944075204804 0.266679371374573 0.33220578293657 0.266776677667767 0.332443313775822 0.107697824990832 0.130420276402641
4 1 80922782 89440907 70.0610890085538 71.9773254399479 0.220388544368932 0.300362390574204 0.220528573647022 0.300452771954344 0.101887661114994 0.117654932448172
